,,,MIS  ,,BO/CO,,,
Symbol,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,BO/CO Margin(%),CO Upper Trigger,BO/CO Margin(%),BO/CO Multiplier
TATAELXSI,500408,23.42,11.71,8.54,5.86,10.00,7.03,14.23
TATAINVEST,501301,18.21,9.11,10.98,5.00,10.00,5.00,20.00
TATAMOTORS,500570,27.15,13.58,7.37,6.79,10.00,8.15,12.28
TATAPOWER,500400,23.84,11.92,8.39,5.96,10.00,7.15,13.98
TATASTEEL,500470,21.93,10.97,9.12,5.48,10.00,6.58,15.20
TATASTLBSL,500055,24.04,12.02,8.32,6.01,10.00,7.21,13.87
TCI,532349,20.54,10.27,9.74,5.14,10.00,6.16,16.23
TCS,532540,16.27,8.14,12.29,5.00,10.00,5.00,20.00
TEAMLEASE,539658,19.11,9.56,10.47,5.00,10.00,5.00,20.00
TECHM,532755,18.75,9.38,10.67,5.00,10.00,5.00,20.00
THERMAX,500411,15.17,7.59,13.18,5.00,10.00,5.00,20.00
TIDEWATER,590005,13.73,6.87,14.57,5.00,10.00,5.00,20.00
TITAN,500114,20.55,10.28,9.73,5.14,10.00,6.17,16.22
TNPETRO,500777,22.53,11.27,8.88,5.63,10.00,6.76,14.80
TNPL,531426,19.51,9.76,10.25,5.00,10.00,5.00,20.00
TORNTPHARM,500420,18.30,9.15,10.93,5.00,10.00,5.00,20.00
TORNTPOWER,532779,16.16,8.08,12.38,5.00,10.00,5.00,20.00
TRENT,500251,23.31,11.66,8.58,5.83,10.00,6.99,14.30
TRITURBINE,533655,24.37,12.19,8.21,6.09,10.00,7.31,13.68
TTKPRESTIG,517506,17.50,8.75,11.43,5.00,10.00,5.00,20.00
TVSMOTOR,532343,19.52,9.76,10.25,5.00,10.00,5.00,20.00
TVSSRICHAK,509243,21.95,10.98,9.11,5.49,10.00,6.59,15.19
UBL,532478,17.95,8.98,11.14,5.00,10.00,5.00,20.00
UFLEX,500148,22.45,11.23,8.91,5.61,10.00,6.74,14.85
UJJIVAN,539874,27.34,13.67,7.32,6.84,10.00,8.20,12.19
ULTRACEMCO,532538,17.84,8.92,11.21,5.00,10.00,5.00,20.00
UNIONBANK,532477,21.53,10.77,9.29,5.38,10.00,6.46,15.48
UPL,512070,23.82,11.91,8.40,5.96,10.00,7.15,13.99
UTIAMC,543238,12.50,6.25,16.00,5.00,10.00,5.00,20.00
VBL,540180,19.62,9.81,10.19,5.00,10.00,5.00,20.00
VEDL,500295,26.17,13.09,7.64,6.54,10.00,7.85,12.74
VGUARD,532953,16.03,8.02,12.48,5.00,10.00,5.00,20.00
VIPIND,507880,23.21,11.61,8.62,5.80,10.00,6.96,14.36
VMART,534976,21.89,10.95,9.14,5.47,10.00,6.57,15.23
VOLTAMP,532757,19.84,9.92,10.08,5.00,10.00,5.00,20.00
VOLTAS,500575,17.61,8.81,11.36,5.00,10.00,5.00,20.00
VSTIND,509966,15.17,7.59,13.18,5.00,10.00,5.00,20.00
WABCOINDIA,533023,15.84,7.92,12.63,5.00,10.00,5.00,20.00
WATERBASE,523660,24.92,12.46,8.03,6.23,10.00,7.48,13.38
WESTLIFE,505533,19.99,10.00,10.01,5.00,10.00,5.00,20.00
WHIRLPOOL,500238,18.85,9.43,10.61,5.00,10.00,5.00,20.00
WIPRO,507685,17.93,8.97,11.15,5.00,10.00,5.00,20.00
WONDERLA,538268,21.41,10.71,9.34,5.35,10.00,6.42,15.57
ZEEL,505537,38.99,19.50,5.13,9.75,10.00,11.70,8.55
ZYDUSWELL,531335,16.36,8.18,12.22,5.00,10.00,5.00,20.00
JINDALSTEL,532286,69.99,35.00,2.86,17.50,10.00,21.00,4.76
INFRATEL,534816,69.99,35.00,2.86,17.50,10.00,21.00,4.76
JSL,532508,69.99,35.00,2.86,17.50,10.00,21.00,4.76
ADANIPOWER,533096,28.81,14.41,6.94,7.20,10.00,8.64,11.57
JSWENERGY,533148,20.69,10.35,9.67,5.17,10.00,6.21,16.11
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
,,,,,,,,#DIV/0!
